in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
0,40,40,40,40,0.189,0.5,5,10,10,5,0.85,0.4,52.883355,62.861302,0.596491217,0.384985839,0.615014161,0.605752689,Run0_Joyce Street.png,Run0.json
1,70,30,50,60,0.141,0.1,5,10,5,10,0.48,0.5,63.433814,58.515806,1,0.212777251,0.787222749,0.893611375,Run1_Joyce Street.png,Run1.json
2,70,50,30,60,0.284,0.48,5,5,10,10,1.4,0.7,52.883355,72.617395,0.596491217,0.771612128,0.228387872,0.412439545,Run2_Joyce Street.png,Run2.json
3,40,30,70,60,0.141,0.1,10,5,5,10,0.48,0.7,45.87156,61.202289,0.328320812,0.319240459,0.680759541,0.504540177,Run3_Joyce Street.png,Run3.json
4,70,70,30,50,0.284,0.1,5,10,5,5,0.48,0.7,55.570118,63.064351,0.699248118,0.393032511,0.606967489,0.653107804,Run4_Joyce Street.png,Run4.json
5,50,40,30,60,0.284,0.1,10,10,5,5,0.48,0.7,48.296199,58.796768,0.42105262,0.223911554,0.776088446,0.598570533,Run5_Joyce Street.png,Run5.json
6,60,70,60,40,0.141,0.48,5,10,5,5,1.4,0.5,55.045872,69.692496,0.679198008,0.655700682,0.344299318,0.511748663,Run6_Joyce Street.png,Run6.json
7,30,30,50,70,0.284,0.48,10,10,5,10,1.4,0.5,40.760157,68.894039,0.132832066,0.624058459,0.375941541,0.254386803,Run7_Joyce Street.png,Run7.json
8,50,70,70,30,0.141,0.48,5,10,5,10,1.4,0.5,50.131062,68.553789,0.491228082,0.61057462,0.38942538,0.440326731,Run8_Joyce Street.png,Run8.json
9,50,50,70,40,0.141,0.1,5,5,10,5,1.4,0.5,54.325033,67.690835,0.651629078,0.576376432,0.423623568,0.537626323,Run9_Joyce Street.png,Run9.json
10,40,40,30,70,0.189,0.48,5,10,5,10,1.4,0.5,47.051114,67.417169,0.373433579,0.565531263,0.434468737,0.403951158,Run10_Joyce Street.png,Run10.json
11,60,30,40,30,0.189,0.48,10,10,5,5,1.4,0.3,47.313237,70.896418,0.383458634,0.703411164,0.296588836,0.340023735,Run11_Joyce Street.png,Run11.json
12,40,60,40,40,0.284,0.48,5,5,5,5,1.4,0.5,47.247706,67.184265,0.380952361,0.556301461,0.443698539,0.41232545,Run12_Joyce Street.png,Run12.json
13,40,60,30,60,0.284,0.48,10,5,10,10,1.4,0.5,45.478375,69.070022,0.31328321,0.631032527,0.368967473,0.341125342,Run13_Joyce Street.png,Run13.json
14,30,60,60,30,0.141,0.1,5,5,5,5,1.4,0.3,43.119266,66.662303,0.223057638,0.535616518,0.464383482,0.34372056,Run14_Joyce Street.png,Run14.json
15,30,30,50,40,0.189,0.1,10,5,5,5,0.48,0.7,39.187418,57.046903,0.072681697,0.154565781,0.845434219,0.459057958,Run15_Joyce Street.png,Run15.json
16,70,60,70,40,0.189,0.48,10,10,10,5,0.48,0.3,57.929227,59.004957,0.78947369,0.23216192,0.76783808,0.778655885,Run16_Joyce Street.png,Run16.json
17,40,60,50,60,0.189,0.48,5,10,5,10,1.4,0.5,49.21363,67.924546,0.456140331,0.585638215,0.414361785,0.435251058,Run17_Joyce Street.png,Run17.json
18,30,30,40,30,0.284,0.1,10,5,5,5,1.4,0.7,37.287025,63.492135,0,0.409985254,0.590014746,0.295007373,Run18_Joyce Street.png,Run18.json
19,60,40,30,70,0.189,0.48,10,5,10,5,0.48,0.5,51.900393,58.327037,0.558897232,0.205296484,0.794703516,0.676800374,Run19_Joyce Street.png,Run19.json
20,30,40,60,70,0.189,0.48,5,10,5,10,0.48,0.7,44.888598,60.324204,0.290726827,0.284442641,0.715557359,0.503142093,Run20_Joyce Street.png,Run20.json
21,40,60,40,50,0.141,0.1,10,10,10,10,0.48,0.3,47.378768,57.902218,0.385964908,0.188461241,0.811538759,0.598751833,Run21_Joyce Street.png,Run21.json
22,40,40,70,60,0.189,0.1,5,5,5,10,0.48,0.7,49.410223,63.607796,0.463659151,0.414568808,0.585431192,0.524545172,Run22_Joyce Street.png,Run22.json
23,70,60,40,40,0.284,0.48,10,10,5,5,0.48,0.7,53.014417,60.314765,0.601503764,0.284068581,0.715931419,0.658717592,Run23_Joyce Street.png,Run23.json
24,40,40,60,50,0.284,0.1,10,5,10,5,1.4,0.3,49.1481,72.697647,0.453634096,0.774792452,0.225207548,0.339420822,Run24_Joyce Street.png,Run24.json
25,40,30,40,70,0.141,0.1,5,10,10,5,0.48,0.7,48.492792,57.835091,0.428571439,0.185801051,0.814198949,0.621385194,Run25_Joyce Street.png,Run25.json
26,60,30,70,60,0.284,0.1,10,10,10,10,0.48,0.5,54.587156,57.952329,0.661654133,0.190447101,0.809552899,0.735603516,Run26_Joyce Street.png,Run26.json
27,40,30,60,30,0.141,0.1,5,10,10,5,1.4,0.3,45.609436,69.662983,0.318295719,0.654531105,0.345468895,0.331882307,Run27_Joyce Street.png,Run27.json
28,30,70,70,60,0.189,0.48,5,10,10,10,0.48,0.3,50.524246,58.314129,0.506265645,0.20478495,0.79521505,0.650740347,Run28_Joyce Street.png,Run28.json
29,40,30,30,30,0.141,0.48,5,10,10,5,0.48,0.5,38.597641,56.956263,0.050125314,0.150973789,0.849026211,0.449575762,Run29_Joyce Street.png,Run29.json
30,30,40,40,70,0.189,0.1,5,5,10,5,1.4,0.5,47.051114,66.309581,0.373433579,0.521638422,0.478361578,0.425897578,Run30_Joyce Street.png,Run30.json
31,70,50,70,70,0.189,0.1,5,5,5,5,1.4,0.7,57.994758,78.380514,0.791979964,1,0,0.395989982,Run31_Joyce Street.png,Run31.json
32,30,70,60,30,0.284,0.48,10,5,5,5,0.48,0.7,42.070773,62.070324,0.18295738,0.353640003,0.646359997,0.414658688,Run32_Joyce Street.png,Run32.json
33,30,50,70,40,0.141,0.48,10,10,5,5,0.48,0.7,42.529489,59.916301,0.200501255,0.268277766,0.731722234,0.466111744,Run33_Joyce Street.png,Run33.json
34,50,70,70,60,0.284,0.1,5,10,5,5,1.4,0.3,54.325033,73.72825,0.651629078,0.815634438,0.184365562,0.41799732,Run34_Joyce Street.png,Run34.json
35,40,70,50,30,0.189,0.1,5,5,5,5,1.4,0.7,46.330275,67.614387,0.345864649,0.573346857,0.426653143,0.386258896,Run35_Joyce Street.png,Run35.json
36,30,70,60,70,0.284,0.48,5,5,5,10,1.4,0.5,47.57536,68.913196,0.393483689,0.624817636,0.375182364,0.384333027,Run36_Joyce Street.png,Run36.json
37,30,40,30,60,0.189,0.1,5,10,5,5,1.4,0.5,42.857143,65.249043,0.213032583,0.479610136,0.520389864,0.366711224,Run37_Joyce Street.png,Run37.json
38,60,30,70,70,0.189,0.1,5,5,5,5,1.4,0.7,54.849279,75.377052,0.671679188,0.880975164,0.119024836,0.395352012,Run38_Joyce Street.png,Run38.json
39,70,30,30,40,0.189,0.48,10,10,10,5,1.4,0.3,47.182176,73.457382,0.378446126,0.804900152,0.195099848,0.286772987,Run39_Joyce Street.png,Run39.json
40,70,40,70,60,0.189,0.48,10,5,5,10,0.48,0.3,54.259502,58.29989,0.649122804,0.20422067,0.79577933,0.722451067,Run40_Joyce Street.png,Run40.json
41,40,30,70,50,0.284,0.48,5,5,5,5,0.48,0.7,47.182176,64.721859,0.378446126,0.458718249,0.541281751,0.459863939,Run41_Joyce Street.png,Run41.json
42,60,30,60,40,0.189,0.48,10,5,10,5,0.48,0.7,52.621232,57.964854,0.586466162,0.190943457,0.809056543,0.697761353,Run42_Joyce Street.png,Run42.json
43,40,40,50,30,0.284,0.48,10,10,5,5,1.4,0.3,42.988204,71.457673,0.218045092,0.725653258,0.274346742,0.246195917,Run43_Joyce Street.png,Run43.json
44,30,40,60,30,0.141,0.1,10,5,5,10,1.4,0.5,39.187418,63.59752,0.072681697,0.414161579,0.585838421,0.329260059,Run44_Joyce Street.png,Run44.json
45,50,60,60,60,0.189,0.1,5,10,10,5,1.4,0.3,55.832241,73.585797,0.709273173,0.809989138,0.190010862,0.449642018,Run45_Joyce Street.png,Run45.json
46,70,70,40,60,0.141,0.48,10,5,10,10,1.4,0.7,55.242464,70.391299,0.68671679,0.683393695,0.316606305,0.501661547,Run46_Joyce Street.png,Run46.json
47,70,40,70,30,0.284,0.1,5,10,10,5,0.48,0.7,56.684142,61.827575,0.74185465,0.344020051,0.655979949,0.6989173,Run47_Joyce Street.png,Run47.json
48,70,40,30,30,0.284,0.48,10,5,10,10,0.48,0.7,46.985583,59.473182,0.370927306,0.250717309,0.749282691,0.560104999,Run48_Joyce Street.png,Run48.json
49,30,50,30,40,0.141,0.1,10,10,5,5,0.48,0.7,39.515072,53.988322,0.085213026,0.033356622,0.966643378,0.525928202,Run49_Joyce Street.png,Run49.json
