Time (s),Force (N)
0.0,0.0
0.020202020202020204,5.2359760314
0.04040404040404041,5.1637785881
0.06060606060606061,5.0780355268
0.08080808080808081,4.9828822259
0.10101010101010102,4.8819928089
0.12121212121212122,4.7786046736
0.14141414141414144,4.6755319988
0.16161616161616163,4.5751710092
0.18181818181818182,4.4794990857
0.20202020202020204,4.390071615
0.22222222222222224,4.3080215268
0.24242424242424243,4.2340659659
0.26262626262626265,4.1685233855
0.2828282828282829,4.1113426376
0.30303030303030304,4.0621438623
0.32323232323232326,4.0202694122
0.3434343434343435,3.9848418908
0.36363636363636365,3.9548257485
0.38383838383838387,3.9290887592
0.4040404040404041,3.9064600369
0.42424242424242425,3.8857818988
0.4444444444444445,3.8659536785
0.4646464646464647,3.845966435
0.48484848484848486,3.8249283079
0.5050505050505051,3.8020809324
0.5252525252525253,3.77680776
0.5454545454545455,3.7486354088
0.5656565656565657,3.7172293227
0.5858585858585859,3.6823850449
0.6060606060606061,3.6440163309
0.6262626262626263,3.6021411957
0.6464646464646465,3.5568668363
0.6666666666666667,3.5083742092
0.686868686868687,3.4569028874
0.7070707070707072,3.4027366811
0.7272727272727273,3.3461903762
0.7474747474747475,3.2875978413
0.7676767676767677,3.2273016579
0.787878787878788,3.165644355
0.8080808080808082,3.1029612598
0.8282828282828284,3.0395749263
0.8484848484848485,2.9757910567
0.8686868686868687,2.911895798
0.888888888888889,2.8481542693
0.9090909090909092,2.7848101606
0.9292929292929294,2.722086236
0.9494949494949496,2.6601855721
0.9696969696969697,2.599293373
0.98989898989899,2.5395792134
1.0101010101010102,2.4811995811
1.0303030303030305,2.4243006074
1.0505050505050506,2.3690209018
1.0707070707070707,2.3154944219
1.090909090909091,2.2638533385
1.1111111111111112,2.2142308696
1.1313131313131315,2.1667640756
1.1515151515151516,2.1215966214
1.1717171717171717,2.0788815179
1.191919191919192,2.0387838623
1.2121212121212122,2.0014835965
1.2323232323232325,1.9671782982
1.2525252525252526,1.9360860137
1.272727272727273,1.9084481254
1.292929292929293,1.8845322348
1.3131313131313131,1.8646350189
1.3333333333333335,1.8490850087
1.3535353535353536,1.8382462229
1.373737373737374,1.832541104
1.393939393939394,1.8323605821
1.4141414141414144,1.8381665064
1.4343434343434345,1.850540203
1.4545454545454546,1.8700090103
1.474747474747475,1.8971627042
1.494949494949495,1.9326250318
1.5151515151515154,1.977048219
1.5353535353535355,2.031107083
1.5555555555555556,2.0954923254
1.575757575757576,2.1709035553
1.595959595959596,2.2580427122
1.6161616161616164,2.3576087196
1.6363636363636365,2.4702942856
1.6565656565656568,2.5967857409
1.676767676767677,2.7377666567
1.696969696969697,2.8939257165
1.7171717171717173,3.065968952
1.7373737373737375,3.2546360573
1.7575757575757578,3.4607201273
1.777777777777778,3.6850899245
1.7979797979797982,3.9287137342
1.8181818181818183,4.1926841177
1.8383838383838385,4.4782434981
1.8585858585858588,4.7868116203
1.878787878787879,5.1200176826
1.8989898989898992,5.4797425948
1.9191919191919193,5.8681808324
1.9393939393939394,6.2879374875
1.9595959595959598,6.7421857847
1.97979797979798,7.2348197615
2.0,4.9593082277
