in:Iterator,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,EUI,CO2,Cost,Area,Pums_Min,Pumps_Max,Humidy,img
19,60,40,30,70,0.189,0.48,10,5,10,5,0.48,274.36,168.44,47.37,179.3,0,8.93,8.64,Iterator19.png
24,40,40,60,50,0.284,0.1,10,5,10,5,1.4,411.65,197.86,47.36,268.95,0,8.93,10.11,Iterator24.png
102,50,60,30,70,0.189,0.48,10,5,10,10,1.4,420.67,200.21,47.54,403.42,0,8.93,11.2,Iterator102.png
1,70,30,50,60,0.141,0.1,5,10,5,10,0.48,266.77,171.53,49.41,386.61,0,8.93,8.64,Iterator1.png
53,30,30,70,70,0.141,0.1,5,5,10,10,0.48,266.44,169.64,48.63,356.35,0,8.93,8.64,Iterator53.png
69,60,50,50,70,0.284,0.48,10,10,10,10,1.4,265.75,170.88,49.22,268.95,0,8.93,8.64,Iterator69.png
86,70,60,70,70,0.141,0.1,10,5,5,10,1.4,273.83,176.07,50.72,537.89,0,8.93,8.64,Iterator86.png
94,60,30,30,50,0.189,0.1,5,10,5,10,0.48,439.1,205.9,48.3,537.89,0,8.93,10.76,Iterator94.png
108,30,70,30,40,0.141,0.1,10,5,5,10,0.48,300.81,177.5,48.83,537.89,0,8.93,8.64,Iterator108.png
21,40,60,40,50,0.141,0.1,10,10,10,10,0.48,281.06,171.94,48.26,201.71,0,8.93,8.64,Iterator21.png
34,50,70,70,60,0.284,0.1,5,10,5,5,1.4,284.07,171.15,47.65,208.43,0,8.93,8.64,Iterator34.png
52,70,30,30,40,0.141,0.1,10,10,5,10,1.4,275.19,170.72,48.28,302.56,0,8.93,8.64,Iterator52.png
