in:Run,in:WWR_N,in:WWR_W,in:WWR_S,in:WWR_E,in:Wall_U_Value,in:Chi_Value,in:Shading_N,in:Shading_W,in:Shading_S,in:Shading_E,in:Window_U_Value,in:SHGC,out:Illuminance %,out:EUI kWh/m2,N_illuminace,N_EUI,I_EUI,out:Value,img,threeD
148,60,60,30,70,0.141,0.1,10,5,5,5,0.48,0.3,53.079948,57.064466,0.604010037,0.155261789,0.844738211,0.724374124,Run148_Joyce Street.png,Run148.json
64,50,60,40,40,0.141,0.48,5,10,5,5,0.48,0.5,50.065531,56.352736,0.488721808,0.127056489,0.872943511,0.68083266,Run64_Joyce Street.png,Run64.json
178,30,50,60,70,0.189,0.48,10,5,10,5,0.48,0.5,48.558322,56.21659,0.431077675,0.12166113,0.87833887,0.654708272,Run178_Joyce Street.png,Run178.json
164,60,70,70,70,0.284,0.1,5,5,10,5,1.4,0.7,59.764089,74.85408,0.859649114,0.860250195,0.139749805,0.49969946,Run164_Joyce Street.png,Run164.json
65,70,30,60,70,0.141,0.1,5,10,10,10,1.4,0.5,58.256881,71.807705,0.802005019,0.739524751,0.260475249,0.531240134,Run65_Joyce Street.png,Run65.json
126,70,60,70,40,0.284,0.1,5,10,10,5,1.4,0.7,59.305374,72.738316,0.842105277,0.776404132,0.223595868,0.532850572,Run126_Joyce Street.png,Run126.json
157,70,70,60,70,0.189,0.1,10,10,5,5,0.48,0.7,57.732634,64.130744,0.78195487,0.435292826,0.564707174,0.673331022,Run157_Joyce Street.png,Run157.json
162,30,30,40,60,0.141,0.48,5,10,10,10,0.48,0.7,41.743119,55.702934,0.170426051,0.101305347,0.898694653,0.534560352,Run162_Joyce Street.png,Run162.json
47,70,40,70,30,0.284,0.1,5,10,10,5,0.48,0.7,56.684142,61.827575,0.74185465,0.344020051,0.655979949,0.6989173,Run47_Joyce Street.png,Run47.json
120,70,70,60,60,0.189,0.1,10,5,5,10,0.48,0.5,56.290957,58.304412,0.726817048,0.204399873,0.795600127,0.761208588,Run120_Joyce Street.png,Run120.json
197,70,40,50,60,0.141,0.48,10,5,5,5,0.48,0.3,54.91481,57.820772,0.674185461,0.1852336,0.8147664,0.74447593,Run197_Joyce Street.png,Run197.json
